arm,task,best_r2_mean,best_r2_std,steps_to_thr_mean,dead_frac_mean
continual,1,0.413565803356305,0.09915472411256392,31.333333333333332,0.01736111111111111
continual,2,0.5811538227088743,0.18091386918954527,27.166666666666668,0.020833333333333332
continual,3,0.6005205747775609,0.14898045442963503,19.4,0.034722222222222224
continual,4,0.5791901576970618,0.12092975155509249,21.0,0.052083333333333336
continual,5,0.6320107445800504,0.1925382125421994,16.0,0.05902777777777778
continual,6,0.5951324696789159,0.15370890785846403,21.5,0.07291666666666667
continual,7,0.6456189870988475,0.1944785263837879,10.75,0.07986111111111112
continual,8,0.6410838764727879,0.14919229009162824,19.666666666666668,0.07986111111111112
continual,9,0.640254759213153,0.13450316200062076,17.5,0.10763888888888888
continual,10,0.6410571921318856,0.13203467368650296,18.833333333333332,0.11805555555555557
continual,11,0.5845926692332082,0.15500547395606248,19.4,0.12847222222222224
continual,12,0.621930444912406,0.17086127248856467,17.2,0.1388888888888889
continual,13,0.6837096014882875,0.1527710733829106,13.2,0.14236111111111113
continual,14,0.6795150086101319,0.12304669950452538,19.5,0.15277777777777776
continual,15,0.6894904003619268,0.15132227223227,16.2,0.16666666666666666
continual,16,0.5984692075365924,0.13857494028197964,23.2,0.1979166666666667
continual,17,0.5748581738276728,0.15062497977714573,23.8,0.21875
continual,18,0.6671988308933002,0.1519667166573044,17.6,0.22569444444444442
continual,19,0.5438470645707814,0.1385942991197279,24.75,0.24305555555555555
continual,20,0.5862241650316202,0.1872504855709356,19.5,0.2569444444444444
continual,21,0.47302188771988574,0.1896732367991967,29.4,0.2743055555555555
continual,22,0.458391337260333,0.12777065591060477,30.5,0.28124999999999994
continual,23,0.514783587998859,0.17595882192170423,17.666666666666668,0.2916666666666667
continual,24,0.4886864741862171,0.20864000940900282,19.0,0.3055555555555556
continual,25,0.5174336770669928,0.2363570265091028,21.25,0.31597222222222227
continual,26,0.5008290014620193,0.18419471099015516,24.25,0.3263888888888889
continual,27,0.47366640745984806,0.19106188600154692,27.25,0.34027777777777773
continual,28,0.5361492245808134,0.14367681545865948,28.0,0.3645833333333333
continual,29,0.4768164749302543,0.14400040741561235,26.333333333333332,0.375
continual,30,0.5089564617364144,0.2510184023358302,17.666666666666668,0.38888888888888884
continual,31,0.435897203995596,0.26272033186571914,17.5,0.3923611111111111
continual,32,0.3368812651110294,0.17225237256415588,13.0,0.40277777777777773
continual,33,0.35395370118705904,0.12173385637613515,21.0,0.4131944444444445
continual,34,0.38937627615949094,0.11054226950451371,33.5,0.42013888888888884
continual,35,0.3995171453562954,0.19734574266746852,20.5,0.42013888888888884
continual,36,0.366633401183619,0.1616670152204557,32.5,0.4236111111111111
continual,37,0.3179177149454849,0.09862029411720895,38.0,0.4236111111111111
continual,38,0.35569779075286845,0.15245432982541968,29.5,0.4236111111111111
continual,39,0.33076627921015705,0.12385495897830937,32.5,0.43402777777777785
continual,40,0.4599228569163956,0.19127822378006498,25.5,0.4444444444444445
continual,41,0.39554328321748206,0.1423192945509315,26.5,0.45486111111111116
continual,42,0.5366787768085631,0.2275649555709587,17.0,0.4618055555555556
continual,43,0.4668254383062255,0.23299531064934362,25.75,0.4826388888888889
continual,44,0.40570831966980325,0.21760510643494915,21.5,0.4861111111111111
continual,45,0.40004088952079503,0.1961123303798643,23.0,0.4930555555555556
continual,46,0.4874896145491127,0.19366424898769202,23.333333333333332,0.5034722222222222
continual,47,0.24951586561256778,0.07944622689405983,,0.5069444444444445
